Day,TAR_symptom,7-day_rolling_average,Precentage_Omicron,Cases_est_Delta,Cases_est_Omicron,,
26/12/2021,6607,7857.6,61.9%,2992.4,4865.2,4089.733,2517.267
27/12/2021,18203,9426.7,67.3%,3083.7,6343,12250.619,5952.381
28/12/2021,17441,10872.9,72.2%,3018.2,7854.6,12592.402,4848.598
29/12/2021,16597,12067.4,76.7%,2811.3,9256.1,12729.899,3867.101
30/12/2021,15505,12998.3,80.6%,2516.4,10481.9,12497.03,3007.97
31/12/2021,14121,13419.9,84.1%,2140.3,11279.5,11875.761,2245.239
01/01/2022,6882,13622.3,87.0%,1776.6,11845.6,5987.34,894.66
02/01/2022,9333,14011.7,89.4%,1485,12526.7,8343.702,989.298000000001
03/01/2022,20968,14406.7,91.4%,1234.3,13172.4,19164.752,1803.248
04/01/2022,18244,14521.4,93.1%,1001.3,13520.1,16985.164,1258.836
05/01/2022,15719,14396,94.5%,796.1,13599.9,14854.455,864.545
06/01/2022,8185,13350.3,95.6%,590.4,12759.9,7824.86,360.14
07/01/2022,15783,13587.7,96.5%,479.4,13108.3,15230.595,552.405000000001
08/01/2022,9371,13943.3,97.2%,391.7,13551.5,9108.612,262.388000000001
09/01/2022,12763,14433.3,97.8%,322.4,14110.9,12482.214,280.786
10/01/2022,23223,14755.4,98.2%,261.8,14493.7,22804.986,418.013999999999
11/01/2022,18824,14838.3,98.6%,208.8,14629.4,18560.464,263.536
12/01/2022,17680,15118.4,98.9%,168.7,14949.7,17485.52,194.48
13/01/2022,15994,16234,99.1%,143.5,16090.5,15850.054,143.946
14/01/2022,14658,16073.3,99.3%,112.5,15960.8,14555.394,102.606
15/01/2022,10066,16172.6,99.4%,89.6,16083,10005.604,60.3959999999988
