"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Europe","Scotland","SCT","'75-84",75,84,2019-06-30,"147734","191024","338758"
"Europe","Scotland","SCT","'85+",85,NA,2019-06-30,"44893","82194","127087"
"Europe","Scotland","SCT","'Total",NA,NA,2019-06-30,"2663003","2800297","5463300"
"Asia","South Korea","KOR","'0-9",0,9,2020-12-01,"2035712","1934358","3970070"
"Asia","South Korea","KOR","'10-19",10,19,2020-12-01,"2478773","2314563","4793336"
"Asia","South Korea","KOR","'20-29",20,29,2020-12-01,"3573667","3232486","6806153"
"Asia","South Korea","KOR","'30-39",30,39,2020-12-01,"3541548","3331569","6873117"
"Asia","South Korea","KOR","'40-49",40,49,2020-12-01,"4214971","4079816","8294787"
"Asia","South Korea","KOR","'50-59",50,59,2020-12-01,"4362544","4282470","8645014"
"Asia","South Korea","KOR","'60-69",60,69,2020-12-01,"3298604","3445902","6744506"
"Asia","South Korea","KOR","'70-79",70,79,2020-12-01,"1664340","2033906","3698246"
"Asia","South Korea","KOR","'80+",80,NA,2020-12-01,"670870","1332924","2003794"
"Asia","South Korea","KOR","'Total",NA,NA,2020-12-01,"25841029","25987994","51829023"
"Asia","South Korea","KOR","'0-9",0,9,2020-01-01,"2128540","2020114","4148654"
"Asia","South Korea","KOR","'10-19",10,19,2020-01-01,"2559161","2381294","4940455"
"Asia","South Korea","KOR","'20-29",20,29,2020-01-01,"3577821","3228589","6806410"
"Asia","South Korea","KOR","'30-39",30,39,2020-01-01,"3620786","3424334","7045120"
"Asia","South Korea","KOR","'40-49",40,49,2020-01-01,"4263630","4125651","8389281"
"Asia","South Korea","KOR","'50-59",50,59,2020-01-01,"4367950","4299021","8666971"
"Asia","South Korea","KOR","'60-69",60,69,2020-01-01,"3102402","3241882","6344284"
"Asia","South Korea","KOR","'70-79",70,79,2020-01-01,"1613721","1993383","3607104"
"Asia","South Korea","KOR","'80+",80,NA,2020-01-01,"628852","1270378","1899230"
"Asia","South Korea","KOR","'Total",NA,NA,2020-01-01,"25862863","25984646","51847509"
"Europe","Spain","ESP","'0-9",0,9,2020-01-01,"2251517","2119341","4370858"
"Europe","Spain","ESP","'10-19",10,19,2020-01-01,"2520800","2362647","4883447"
"Europe","Spain","ESP","'20-29",20,29,2020-01-01,"2464472","2383466","4847938"
"Europe","Spain","ESP","'30-39",30,39,2020-01-01,"3076176","3091412","6167588"
"Europe","Spain","ESP","'40-49",40,49,2020-01-01,"3943490","3869686","7813176"
"Europe","Spain","ESP","'50-59",50,59,2020-01-01,"3457353","3516656","6974009"
"Europe","Spain","ESP","'60-69",60,69,2020-01-01,"2543236","2738641","5281877"
"Europe","Spain","ESP","'70-79",70,79,2020-01-01,"1771960","2128590","3900550"
"Europe","Spain","ESP","'80+",80,NA,2020-01-01,"1060385","1800567","2860952"
"Europe","Spain","ESP","'Total",NA,NA,2020-01-01,"23089389","24011006","47100395"
"Europe","Spain","ESP","'0-9",0,9,2020-07-01,"2203624","2076291","4279915"
"Europe","Spain","ESP","'10-19",10,19,2020-07-01,"2560521","2397047","4957568"
"Europe","Spain","ESP","'20-29",20,29,2020-07-01,"2503060","2409581","4912641"
"Europe","Spain","ESP","'30-39",30,39,2020-07-01,"3003169","3020984","6024153"
"Europe","Spain","ESP","'40-49",40,49,2020-07-01,"3940546","3885043","7825589"
"Europe","Spain","ESP","'50-59",50,59,2020-07-01,"3510983","3570431","7081414"
"Europe","Spain","ESP","'60-69",60,69,2020-07-01,"2613279","2814169","5427448"
"Europe","Spain","ESP","'70-79",70,79,2020-07-01,"1810871","2175872","3986743"
"Europe","Spain","ESP","'80+",80,NA,2020-07-01,"1060700","1795400","2856100"
"Europe","Spain","ESP","'Total",NA,NA,2020-07-01,"23206753","24144818","47351571"
"Europe","Sweden","SWE","'0-49",0,49,2019-12-31,"3291803","3104154","6395957"
"Europe","Sweden","SWE","'50-59",50,59,2019-12-31,"657513","640346","1297859"
"Europe","Sweden","SWE","'60-69",60,69,2019-12-31,"551949","556482","1108431"
"Europe","Sweden","SWE","'70-74",70,74,2019-12-31,"273393","287019","560412"
"Europe","Sweden","SWE","'75-79",75,79,2019-12-31,"205252","223344","428596"
"Europe","Sweden","SWE","'80-84",80,84,2019-12-31,"121576","151471","273047"
"Europe","Sweden","SWE","'85-89",85,89,2019-12-31,"63988","99638","163626"
"Europe","Sweden","SWE","'90+",90,NA,2019-12-31,"30320","69305","99625"
"Europe","Sweden","SWE","'Total",NA,NA,2019-12-31,"5195794","5131759","10327553"
"Europe","Sweden","SWE","'0-49",0,49,2020-12-31,"3300129","3111609","6411738"
"Europe","Sweden","SWE","'50-59",50,59,2020-12-31,"663693","646552","1310245"
"Europe","Sweden","SWE","'60-69",60,69,2020-12-31,"550672","555288","1105960"
"Europe","Sweden","SWE","'70-74",70,74,2020-12-31,"268233","282384","550617"
"Europe","Sweden","SWE","'75-79",75,79,2020-12-31,"219254","237761","457015"
"Europe","Sweden","SWE","'80-84",80,84,2020-12-31,"125935","155095","281030"
"Europe","Sweden","SWE","'85-89",85,89,2020-12-31,"64699","98675","163374"
"Europe","Sweden","SWE","'90+",90,NA,2020-12-31,"30232","69084","99316"
"Europe","Sweden","SWE","'Total",NA,NA,2020-12-31,"5222847","5156448","10379295"
"Europe","Switzerland","CHE","'0-9",0,9,2019-06-01,"447746","424175","871921"
"Europe","Switzerland","CHE","'10-19",10,19,2019-06-01,"435258","409907","845165"
"Europe","Switzerland","CHE","'20-29",20,29,2019-06-01,"540358","516914","1057272"
"Europe","Switzerland","CHE","'30-39",30,39,2019-06-01,"615991","604093","1220084"
"Europe","Switzerland","CHE","'40-49",40,49,2019-06-01,"608449","601554","1210003"
"Europe","Switzerland","CHE","'50-59",50,59,2019-06-01,"649695","638522","1288217"
"Europe","Switzerland","CHE","'60-69",60,69,2019-06-01,"460050","476169","936219"
"Europe","Switzerland","CHE","'70-79",70,79,2019-06-01,"329837","379079","708916"
"Europe","Switzerland","CHE","'80+",80,NA,2019-06-01,"168762","276346","445108"
"Europe","Switzerland","CHE","'Total",NA,NA,2019-06-01,"4256146","4326759","8582905"
"Americas","United States of America","USA","'0",0,0,2020-04-01,"1914000","1831000","3745000"
"Americas","United States of America","USA","'1-4",1,4,2020-04-01,"8034000","7679000","15713000"
"Americas","United States of America","USA","'5-14",5,14,2020-04-01,"21631000","20624000","42255000"
"Americas","United States of America","USA","'15-24",15,24,2020-04-01,"22034000","21132000","43166000"
"Americas","United States of America","USA","'25-34",25,34,2020-04-01,"23244000","22622000","45866000"
"Americas","United States of America","USA","'35-44",35,44,2020-04-01,"21607000","21325000","42932000"
"Americas","United States of America","USA","'45-54",45,54,2020-04-01,"20659000","20697000","41356000"
"Americas","United States of America","USA","'55-64",55,64,2020-04-01,"21180000","22079000","43259000"
"Americas","United States of America","USA","'65-74",65,74,2020-04-01,"15313000","17143000","32456000"
"Americas","United States of America","USA","'75-84",75,84,2020-04-01,"6977000","8809000","15786000"
"Americas","United States of America","USA","'85+",85,NA,2020-04-01,"2178000","3885000","6063000"
"Americas","United States of America","USA","'Total",NA,NA,2020-04-01,"164771000","167826000","332597000"
"Americas","United States of America","USA","'0",0,0,2020-07-01,"1908141","1826869","3735010"
"Americas","United States of America","USA","'1-4",1,4,2020-07-01,"7953016","7613266","15566282"
"Americas","United States of America","USA","'5-14",5,14,2020-07-01,"20941721","20050413","40992134"
"Americas","United States of America","USA","'15-24",15,24,2020-07-01,"21727443","20828241","42555684"
"Americas","United States of America","USA","'25-34",25,34,2020-07-01,"23444379","22625267","46069646"
"Americas","United States of America","USA","'35-44",35,44,2020-07-01,"21045868","21090324","42136192"
"Americas","United States of America","USA","'45-54",45,54,2020-07-01,"19924692","20441441","40366133"
"Americas","United States of America","USA","'55-64",55,64,2020-07-01,"20489434","21914243","42403677"
"Americas","United States of America","USA","'65-74",65,74,2020-07-01,"15183540","17365858","32549398"
"Americas","United States of America","USA","'75-84",75,84,2020-07-01,"7223275","9228272","16451547"
"Americas","United States of America","USA","'85+",85,NA,2020-07-01,"2414693","4243727","6658420"
"Americas","United States of America","USA","'Total",NA,NA,2020-07-01,"162256202","167227921","329484123"
"Europe","Ukraine","UKR","'0-9",0,9,2020-01-01,"2144902","2015536","4160438"
"Europe","Ukraine","UKR","'10-19",10,19,2020-01-01,"2108122","1987939","4096061"
"Europe","Ukraine","UKR","'20-29",20,29,2020-01-01,"2477429","2346114","4823543"
"Europe","Ukraine","UKR","'30-39",30,39,2020-01-01,"3493916","3424411","6918327"
"Europe","Ukraine","UKR","'40-49",40,49,2020-01-01,"2926227","3107061","6033288"
"Europe","Ukraine","UKR","'50-59",50,59,2020-01-01,"2598494","3124434","5722928"
"Europe","Ukraine","UKR","'60-69",60,69,2020-01-01,"2113891","3103771","5217662"
"Europe","Ukraine","UKR","'70-79",70,79,2020-01-01,"964905","1921809","2886714"
"Europe","Ukraine","UKR","'80-89",80,89,2020-01-01,"449330","1164709","1614039"
