"region","country","country_code","age_group","age_lower","age_upper","pop_date","pop_male","pop_female","pop_both"
"Asia","Japan","JPN","'10-19",10,19,2020-09-01,"5660000","5390000","11050000"
"Asia","Japan","JPN","'20-29",20,29,2020-09-01,"6535000","6122000","12657000"
"Asia","Japan","JPN","'30-39",30,39,2020-09-01,"7143000","6895000","14038000"
"Asia","Japan","JPN","'40-49",40,49,2020-09-01,"9226000","9017000","18243000"
"Asia","Japan","JPN","'50-59",50,59,2020-09-01,"8281000","8240000","16521000"
"Asia","Japan","JPN","'60-69",60,69,2020-09-01,"7702000","8053000","15755000"
"Asia","Japan","JPN","'70-79",70,79,2020-09-01,"7498000","8768000","16266000"
"Asia","Japan","JPN","'80-89",80,89,2020-09-01,"3571000","5562000","9133000"
"Asia","Japan","JPN","'90+",90,NA,2020-09-01,"616000","1808000","2424000"
"Asia","Japan","JPN","'Total",NA,NA,2020-09-01,"61211000","64599000","125810000"
"Asia","Japan","JPN","'0-9",0,9,2021-01-01,"4940000","4700000","9630000"
"Asia","Japan","JPN","'10-19",10,19,2021-01-01,"5630000","5370000","10990000"
"Asia","Japan","JPN","'20-29",20,29,2021-01-01,"6540000","6110000","12640000"
"Asia","Japan","JPN","'30-39",30,39,2021-01-01,"7060000","6820000","13890000"
"Asia","Japan","JPN","'40-49",40,49,2021-01-01,"9150000","8950000","18100000"
"Asia","Japan","JPN","'50-59",50,59,2021-01-01,"8360000","8310000","16680000"
"Asia","Japan","JPN","'60-69",60,69,2021-01-01,"7600000","7940000","15540000"
"Asia","Japan","JPN","'70-79",70,79,2021-01-01,"7550000","8840000","16390000"
"Asia","Japan","JPN","'80-89",80,89,2021-01-01,"3620000","5600000","9220000"
"Asia","Japan","JPN","'90+",90,NA,2021-01-01,"630000","1840000","2470000"
"Asia","Japan","JPN","'Total",NA,NA,2021-01-01,"61080000","64480000","125550000"
